pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
KC,2024-08-14,84.8,2.79,6.26,"Ray, Robbie",606115,592662,,blocked_ball,,,,,13,Orlando Arcia walks.   Jorge Soler scores.    Austin Riley to 3rd.    Matt Olson to 2nd.,R,R,L,SF,ATL,B,,,2,2,2024,-0.11,0.11,-0.48,0.17,624585,663586,621566,1,1,Top,,,,,672275,,,-7.390037210942201,-123.09816933703654,-8.092764640644496,0.3190556042452163,23.855044005888253,-29.61063563064649,3.37,1.57,,,,84.5,2259,6.2,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.3,,,,,,,,5,5,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,1,0.0,0.351,,
FF,2024-08-14,94.6,2.54,6.34,"Ray, Robbie",606115,592662,,ball,,,,,11,Orlando Arcia walks.   Jorge Soler scores.    Austin Riley to 3rd.    Matt Olson to 2nd.,R,R,L,SF,ATL,B,,,1,2,2024,0.7,1.42,-1.23,2.9,624585,663586,621566,1,1,Top,,,,,672275,,,-11.395223776027931,-137.2553316768923,-6.435881767439707,11.302106030340362,29.28953776508076,-12.900210801763691,3.43,1.57,,,,94.6,2461,6.4,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.12,,,,,,,,5,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,147,0.0,0.114,,
SL,2024-08-14,88.2,2.58,6.3,"Ray, Robbie",606115,592662,,ball,,,,,13,Orlando Arcia walks.   Jorge Soler scores.    Austin Riley to 3rd.    Matt Olson to 2nd.,R,R,L,SF,ATL,B,,,0,2,2024,0.38,0.52,-1.54,1.29,624585,663586,621566,1,1,Top,,,,,672275,,,-10.762598929268508,-127.9496514902213,-7.177122855497983,6.202354415665067,23.71827979552465,-25.212380510445627,3.39,1.57,,,,88.3,2212,6.3,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.21,,,,,,,,5,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,157,0.0,0.055,,
FF,2024-08-14,94.4,2.53,6.38,"Ray, Robbie",606115,592662,,swinging_strike,,,,,12,Orlando Arcia walks.   Jorge Soler scores.    Austin Riley to 3rd.    Matt Olson to 2nd.,R,R,L,SF,ATL,S,,,0,1,2024,0.86,1.37,0.35,3.77,624585,663586,621566,1,1,Top,,,,,672275,,,-7.577460383532498,-137.33645234667625,-4.146633992050933,12.508134547433713,28.483823592655597,-14.108435568235192,3.39,1.57,,,,94.5,2349,6.2,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.3,,,,,,,,5,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,143,0.0,-0.218,68.00079,7.18401
KC,2024-08-14,84.0,2.92,6.34,"Ray, Robbie",606115,592662,,called_strike,,,,,9,Orlando Arcia walks.   Jorge Soler scores.    Austin Riley to 3rd.    Matt Olson to 2nd.,R,R,L,SF,ATL,S,,,0,0,2024,-0.02,0.04,0.66,2.04,624585,663586,621566,1,1,Top,,,,,672275,,,-5.155658008636718,-122.31166894819876,-3.741441540669967,0.6466027669871076,21.169474862159124,-31.253709790600524,3.45,1.64,,,,84.1,2236,6.0,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.46,,,,,,,,5,1,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,338,0.0,-0.111,,
FF,2024-08-14,95.1,2.54,6.36,"Ray, Robbie",621566,592662,walk,ball,,,,,11,Matt Olson walks.   Jorge Soler to 3rd.    Austin Riley to 2nd.,R,L,L,SF,ATL,B,,,3,2,2024,0.96,1.42,-1.15,3.32,,624585,663586,1,1,Top,,,,,672275,,,-11.777934825344095,-137.87476957474553,-5.461697898378815,14.838278667663236,30.51482103200064,-13.006801605806013,3.47,1.64,,,,94.9,2408,6.3,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.16,,0.690281,0.7,1,0,0,,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,146,-0.06,0.495,,
SL,2024-08-14,87.3,2.62,6.31,"Ray, Robbie",621566,592662,,ball,,,,,13,Matt Olson walks.   Jorge Soler to 3rd.    Austin Riley to 2nd.,R,L,L,SF,ATL,B,,,2,2,2024,0.06,0.48,-2.01,0.85,,624585,663586,1,1,Top,,,,,672275,,,-11.233803113965534,-126.5771318227842,-7.970503250081411,2.8575578675059816,24.777539131484737,-25.471340020816005,3.42,1.64,,,,87.2,2142,6.3,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.17,,,,,,,,4,5,Slider,0,0,0,0,0,0,0,0,Standard,Strategic,140,0.0,0.166,,
KC,2024-08-14,83.7,2.62,6.27,"Ray, Robbie",621566,592662,,blocked_ball,,,,,13,Matt Olson walks.   Jorge Soler to 3rd.    Austin Riley to 2nd.,R,L,L,SF,ATL,B,,,1,2,2024,-0.13,-0.29,-1.48,-0.18,,624585,663586,1,1,Top,,,,,672275,,,-9.172087871863706,-121.48992090127518,-7.933905582570699,0.2562589132436175,20.13146431140697,-33.90796990983332,3.45,1.61,,,,83.9,1895,6.2,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.27,,,,,,,,4,4,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Strategic,333,0.0,0.058,,
FF,2024-08-14,94.0,2.5,6.41,"Ray, Robbie",621566,592662,,foul,,,,,2,Matt Olson walks.   Jorge Soler to 3rd.    Austin Riley to 2nd.,R,L,L,SF,ATL,S,,,1,1,2024,0.83,1.57,-0.26,3.27,,624585,663586,1,1,Top,,,,,672275,,,-8.954965134657334,-136.576603488057,-5.861264379637509,12.387321001923905,30.79445691053219,-11.45418880409758,3.5,1.64,119,88.2,73,93.7,2336,6.2,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.26,,,,,,,,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,149,0.0,-0.066,70.51719,7.17099
FF,2024-08-14,93.4,2.4,6.5,"Ray, Robbie",621566,592662,,ball,,,,,12,Matt Olson walks.   Jorge Soler to 3rd.    Austin Riley to 2nd.,R,L,L,SF,ATL,B,,,0,1,2024,0.89,1.5,0.69,4.65,,624585,663586,1,1,Top,,,,,672275,,,-6.341305931958007,-135.9292275153546,-2.309800287172746,12.476956632616456,29.58346234237926,-13.284010355433072,3.55,1.64,,,,93.0,2321,6.1,745301,592662,672275,664774,689172,656305,666149,671218,687529,573262,54.45,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,149,0.0,0.029,,
